1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
816,0,2,Gd,104,Lwq,0,516,Unf,1963,816,TA,8472.0,110.0,0.0,0,5,5,816,1963,1963,110000
1842,0,0,Gd,1810,Glq,32,894,Fin,1981,1842,Gd,37567.64000000022,68.0,0.0,72,5,9,1842,1981,1987,385000
1360,0,0,No,384,Alq,0,572,Unf,1962,1360,TA,7134.0,60.0,0.0,50,5,5,384,1955,1955,130000
1425,0,3,No,490,None,935,576,Rfn,1964,1425,TA,10175.0,100.0,272.0,0,5,6,1425,1964,1964,180500
983,756,3,No,649,Glq,321,480,Fin,1999,1739,Gd,2645.0,24.0,456.0,0,5,8,970,1999,2000,172500
860,0,3,No,0,Unf,860,565,Rfn,2004,1720,Gd,11645.0,89.0,0.0,70,5,7,860,2004,2004,196500
1426,1519,3,Gd,0,Unf,1410,641,Fin,2006,2945,Gd,13682.0,66.0,1031.0,0,5,10,1410,2006,2006,438780
780,0,2,Av,632,Alq,148,352,Unf,1973,780,TA,7200.0,60.0,0.0,0,7,5,780,1972,1972,124900
1158,0,3,No,941,Alq,217,576,Unf,2006,1158,Gd,13072.0,63.0,0.0,50,5,6,1158,2004,2004,158000
581,530,3,No,0,Unf,530,288,Unf,1935,1111,Fa,7200.0,60.0,0.0,0,7,5,530,1920,1996,101000
1370,0,2,Mn,24,Glq,1346,484,Rfn,2006,1370,Gd,6442.0,44.0,178.0,49,5,8,1370,2006,2006,202500
902,808,3,No,0,Unf,576,480,Unf,1990,1710,TA,10300.0,50.0,0.0,11,6,7,576,1921,1950,140000
1057,977,0,No,739,Glq,318,645,Rfn,1998,2034,Gd,9375.0,69.0,573.0,36,5,7,1057,1997,1998,219500
1143,1330,4,Av,0,Unf,1143,852,None,2004,2473,Gd,9591.0,76.0,344.0,151,5,8,1143,2004,2005,317000
2207,0,3,Gd,912,Glq,1035,576,Rfn,1970,2207,TA,19900.0,69.0,287.0,0,5,7,1947,1970,1989,180000
1479,0,3,Av,1013,Glq,440,558,Rfn,2003,1479,Gd,10665.0,72.0,167.0,29,5,7,1453,2003,2003,226000
747,0,2,No,0,Unf,747,220,Unf,1945,747,TA,4608.0,47.0,0.0,0,6,4,747,1945,1950,80000
1304,983,0,No,603,Blq,701,667,Fin,1953,2287,TA,15593.0,81.0,0.0,21,4,7,1304,1953,1953,225000
2223,0,3,Gd,1880,Alq,343,516,Fin,1973,2223,TA,13651.0,95.0,1115.0,0,6,7,2223,1973,1973,244000
845,0,2,No,565,Alq,280,360,Unf,1987,845,TA,7599.0,69.0,0.0,0,6,4,845,1982,2006,129500
885,833,3,No,0,Unf,832,427,Fin,1998,1718,TA,10141.0,74.0,40.0,94,5,7,832,1998,1998,185000
1086,0,3,No,320,Alq,404,490,Unf,1989,1086,TA,10200.0,85.0,104.0,0,7,5,1086,1954,2003,144900
840,765,3,No,0,Unf,840,379,Unf,1915,1605,TA,5790.0,60.0,0.0,0,6,3,840,1915,1950,107400
526,462,2,Gd,462,Glq,0,297,Unf,1973,988,TA,1596.0,21.0,0.0,101,5,4,462,1973,1973,91000
952,0,2,No,228,Alq,724,283,Unf,1956,952,TA,8475.0,69.0,0.0,0,7,4,952,1956,1956,135750
1072,213,2,No,336,Blq,295,240,Unf,1948,1285,TA,8635.0,50.0,0.0,0,5,5,672,1948,2001,127000
1768,0,4,No,0,Unf,1768,0,None,0,1768,TA,10778.0,72.0,0.0,0,5,4,1768,1968,1968,136500
682,548,2,No,0,Unf,440,440,Unf,1966,1230,TA,10440.0,60.0,0.0,0,6,5,440,1910,1981,110000
1182,960,0,No,448,Rec,448,509,Fin,1968,2142,Gd,13000.0,100.0,576.0,72,6,6,896,1968,1968,193500
1337,0,2,No,1201,Glq,36,405,Fin,1998,1337,TA,4500.0,32.0,443.0,199,5,6,1237,1998,1998,153500
1563,0,3,No,33,Glq,1530,758,Rfn,2007,1563,Gd,10206.0,78.0,468.0,99,5,8,1563,2007,2007,245000
1065,0,3,No,0,Unf,1065,461,Unf,1974,1065,TA,8892.0,80.0,66.0,0,5,5,1065,1960,1960,126500
804,670,3,No,0,Unf,384,400,Fin,1995,1474,TA,8530.0,69.0,22.0,72,5,7,384,1995,1996,168500
1301,1116,4,No,0,Unf,1288,462,Unf,1991,2417,Gd,16059.0,121.0,284.0,82,5,8,1288,1991,1992,260000
684,876,3,Av,0,Unf,684,400,Fin,2005,1560,Gd,11911.0,122.0,0.0,38,5,6,684,2005,2005,174000
612,612,0,Av,0,Unf,612,528,Rfn,2009,1224,Gd,3951.0,40.0,76.0,234,5,6,612,2009,2009,164500
1013,0,2,No,0,Unf,1013,0,None,0,1526,Fa,8470.0,105.0,0.0,0,2,3,1013,1915,1982,85000
990,0,3,No,588,None,402,0,None,0,990,TA,8070.0,60.0,0.0,0,5,4,990,1994,1995,123600
1040,0,2,None,0,None,0,420,Unf,1950,1040,TA,7200.0,60.0,0.0,29,5,4,0,1950,1950,109900
1235,0,2,No,600,Rec,635,480,Unf,1961,1235,TA,8500.0,85.0,203.0,0,3,5,1235,1961,1961,98600
964,0,2,No,713,Alq,163,432,Unf,1921,964,TA,13360.0,80.0,0.0,0,7,5,876,1921,2006,163500
1260,1031,4,Mn,1046,Rec,168,506,Unf,1900,2291,TA,7200.0,60.0,0.0,0,6,6,1214,1910,1998,133900
905,881,3,No,648,Glq,176,684,Rfn,1997,1786,Gd,9337.0,69.0,0.0,162,5,6,824,1997,1997,204750
680,790,3,No,310,None,370,420,Fin,1993,1470,TA,9765.0,69.0,68.0,63,8,6,680,1993,1993,185000
1588,0,0,Av,1162,Alq,426,472,Rfn,1999,1588,Gd,10264.0,78.0,183.0,29,5,7,1588,1999,1999,214000
960,0,3,No,520,Rec,440,432,Fin,1965,960,TA,10921.0,73.0,48.0,0,5,4,960,1965,1965,94750
835,0,2,No,108,Alq,350,366,Unf,1920,835,TA,10625.0,85.0,0.0,0,5,5,458,1920,1950,83000
1225,0,3,No,569,Alq,381,0,None,0,1225,TA,9320.0,77.0,0.0,0,5,4,950,1959,1959,128950
1610,0,3,Mn,1200,Alq,410,480,Rfn,1977,1610,Gd,10603.0,69.0,28.0,68,7,6,1610,1977,2001,205000
977,755,3,No,0,None,741,476,Fin,1985,1732,Gd,9206.0,77.0,336.0,46,5,6,741,1985,1985,178000
1535,0,4,None,0,None,0,410,Unf,1979,1535,TA,7018.0,64.0,0.0,0,5,5,0,1979,1979,118964
1226,0,0,No,0,Unf,1226,740,Rfn,2009,1226,Gd,10402.0,94.0,0.0,36,5,7,1226,2009,2009,198900
1226,592,4,No,224,Lwq,816,240,None,1951,1818,TA,7758.0,69.0,600.0,0,4,7,1040,1931,1950,169500
1053,0,3,No,0,Unf,1053,648,Rfn,2003,1992,Gd,9375.0,75.0,768.0,45,5,8,1053,2003,2004,250000
1047,0,2,No,0,Unf,641,273,Unf,1954,1047,TA,10800.0,60.0,0.0,0,7,4,641,1885,1995,100000
789,0,2,No,104,Alq,516,250,Unf,1948,789,TA,6000.0,50.0,0.0,0,5,5,789,1948,1950,115000
997,0,3,No,0,Unf,793,0,None,0,1517,Fa,8500.0,85.0,0.0,0,7,5,793,1919,2005,115000
1844,0,3,No,705,Blq,1139,546,Rfn,1977,1844,TA,11751.0,105.0,480.0,122,6,6,1844,1977,1977,190000
1216,639,4,No,444,Rec,550,325,Unf,1954,1855,TA,9525.0,75.0,0.0,0,4,6,994,1954,1972,136900
774,656,3,No,250,Glq,134,400,Fin,2000,1430,TA,7750.0,69.0,0.0,0,5,7,384,2000,2000,180000
1282,1414,4,Av,984,Glq,280,792,None,2007,2696,Ex,9965.0,77.0,220.0,184,5,7,1264,2007,2007,383970
2259,0,3,Mn,35,None,905,450,Unf,1953,2259,Gd,21000.0,69.0,184.0,120,5,6,1809,1953,1953,217000
1436,884,3,No,774,Alq,104,180,Unf,1945,2320,Gd,7259.0,61.0,0.0,0,8,6,1028,1945,2002,259500
729,729,2,No,419,Glq,310,440,Unf,1999,1458,TA,3230.0,34.0,1129.0,32,5,6,729,1999,1999,176000
1092,0,3,No,170,Lwq,252,288,Unf,1962,1092,TA,11616.0,69.0,116.0,20,5,5,1092,1962,1962,139000
1125,0,2,No,0,Unf,1125,430,Unf,2007,1125,TA,8536.0,74.0,0.0,64,5,5,1125,2006,2007,155000
1699,1523,5,Mn,1470,Glq,203,594,Unf,1990,3222,Gd,12376.0,90.0,0.0,0,5,7,1673,1990,1990,320000
728,728,3,No,0,Unf,728,390,Fin,2005,1456,Gd,8461.0,65.0,0.0,24,5,6,728,2005,2006,163990
988,0,1,Gd,938,Alq,0,540,Unf,1969,988,TA,21453.0,69.0,0.0,130,5,6,938,1969,1969,180000
772,351,3,No,0,Unf,732,264,Unf,1979,1123,TA,6060.0,50.0,0.0,0,5,4,732,1939,1950,100000
1080,0,3,No,570,Blq,510,288,Unf,1958,1080,TA,9464.0,75.0,135.0,0,7,6,1080,1958,1958,136000
1199,0,2,No,300,Glq,899,530,Rfn,1993,1199,Gd,7892.0,55.0,0.0,63,5,6,1199,1993,1993,153900
1586,0,3,No,0,None,1362,435,Unf,1979,1586,TA,17043.0,48.0,0.0,0,5,6,1362,1979,1998,181000
520,0,2,Av,490,Glq,30,0,None,0,754,TA,6780.0,60.0,0.0,0,8,6,520,1935,1982,84500
958,0,2,No,120,Alq,958,440,Rfn,1977,958,TA,4928.0,69.0,0.0,205,5,6,1078,1976,1976,128000
840,0,3,No,116,Lwq,556,0,None,0,840,TA,4388.0,55.0,0.0,0,7,5,672,1930,1950,87000
660,688,3,No,512,Blq,148,453,Rfn,1966,1348,TA,7590.0,69.0,266.0,108,5,6,660,1966,1966,155000
1053,0,3,No,567,Rec,413,750,Rfn,1998,1053,Ex,8973.0,69.0,85.0,80,7,5,1008,1958,1991,150000
1216,941,4,No,445,Rec,479,487,None,1966,2157,Gd,14200.0,88.0,309.0,66,6,7,924,1966,1966,226000
1022,1032,3,No,695,Glq,297,390,Rfn,2000,2054,Gd,12224.0,69.0,40.0,48,5,6,992,2000,2000,244000
1327,0,0,No,405,Rec,658,624,Unf,1974,1327,Gd,7388.0,75.0,0.0,0,6,5,1063,1959,2002,150750
1296,0,2,No,1005,Glq,262,471,Fin,2001,1296,Gd,6853.0,69.0,136.0,25,5,8,1267,2001,2002,220000
1721,0,3,No,570,Rec,891,440,Rfn,1968,1721,TA,10335.0,78.0,0.0,96,6,5,1461,1968,1993,180000
1682,0,3,No,0,Unf,1304,530,Unf,1970,1682,TA,10400.0,80.0,288.0,0,6,7,1304,1970,1970,174000
1214,0,0,No,695,Blq,519,318,Rfn,1967,1214,TA,10355.0,69.0,196.0,111,5,5,1214,1967,1967,143000
1959,0,5,No,0,Unf,1907,766,Unf,1989,1959,TA,11070.0,82.0,70.0,0,5,7,1907,1988,1989,171000
1004,848,3,Mn,668,Glq,336,660,Fin,1999,1852,Gd,9066.0,73.0,320.0,106,5,8,1004,1999,2000,230000
928,836,3,No,821,Glq,107,470,Rfn,1997,1764,Gd,15426.0,65.0,0.0,99,5,6,928,1997,1997,231500
864,0,3,No,432,Alq,432,0,None,0,864,TA,10500.0,70.0,0.0,0,5,4,864,1971,1971,115000
1734,0,3,Av,1300,Glq,434,660,None,2005,1734,Gd,11645.0,78.0,0.0,24,5,7,1734,2005,2005,260000
910,0,4,No,507,Rec,403,720,Unf,2000,1385,TA,8520.0,71.0,0.0,0,4,5,910,1952,1952,166000
1501,0,3,Gd,679,Glq,811,577,Rfn,1999,1501,Gd,10335.0,78.0,183.0,29,5,7,1490,1999,1999,204000
1728,0,6,No,1332,Rec,396,504,Unf,1963,1728,TA,9100.0,70.0,336.0,0,5,5,1728,1963,1963,125000
970,739,3,No,0,Unf,970,380,Unf,2004,1709,Gd,2522.0,24.0,50.0,40,5,6,970,2004,2006,130000
875,0,2,No,209,Blq,506,180,Unf,1931,875,TA,6120.0,51.0,0.0,0,7,5,715,1931,1993,105000
884,1151,3,No,0,Unf,884,434,Fin,2001,2035,Gd,9505.0,69.0,180.0,48,5,7,884,2001,2001,222500
1080,0,3,No,680,Glq,400,0,None,0,1080,Gd,7500.0,63.0,120.0,0,5,7,1080,2004,2005,141000
896,448,3,No,0,Unf,896,240,None,1936,1344,TA,6240.0,69.0,0.0,114,4,5,896,1936,1950,115000
969,0,3,Av,716,Blq,253,440,Unf,1975,969,TA,10356.0,120.0,0.0,0,6,5,969,1975,1975,122000
1710,0,2,Gd,1400,None,310,866,Rfn,2007,1710,Gd,13891.0,107.0,436.0,102,5,8,1710,2007,2008,372402
1097,896,4,No,416,Rec,409,495,Rfn,1971,1993,TA,14803.0,69.0,252.0,66,5,6,825,1971,1971,190000
1252,0,1,Gd,429,Blq,93,564,Rfn,1960,1252,TA,13500.0,69.0,0.0,0,7,6,1602,1960,1975,235000
1200,0,4,No,0,Unf,1200,312,Unf,1923,1200,TA,11340.0,84.0,0.0,0,5,6,1200,1923,1950,125000
572,524,2,No,0,Unf,572,0,None,0,1096,TA,9600.0,60.0,0.0,8,5,6,572,1924,1950,79000
1040,0,2,None,0,None,0,625,Unf,1950,1040,TA,7200.0,60.0,0.0,0,7,5,0,1950,1950,109500
774,1194,4,No,0,None,774,680,Fin,2009,1968,Ex,12003.0,92.0,84.0,75,5,8,774,2009,2010,269500
991,956,3,No,222,Glq,769,678,Rfn,2004,1947,Gd,12552.0,100.0,0.0,136,5,7,991,2004,2005,254900
1392,1070,4,Mn,57,Glq,1335,576,Rfn,2006,2462,Gd,19378.0,134.0,456.0,132,5,7,1392,2005,2006,320000
1232,0,3,No,660,Blq,572,516,Unf,1984,1232,TA,11120.0,69.0,0.0,0,6,6,1232,1984,1984,162500
1572,1096,3,Av,1016,Glq,556,726,Fin,2003,2668,Ex,13688.0,110.0,664.0,0,5,9,1572,2003,2004,412500
1541,0,3,Mn,1201,None,340,532,None,2005,1541,Gd,12182.0,95.0,226.0,70,5,7,1541,2005,2005,220000
882,0,1,No,0,Unf,882,0,None,0,882,TA,5500.0,55.0,0.0,0,6,4,882,1956,1956,103200
1149,467,3,Mn,370,Lwq,779,216,Unf,1926,1616,Gd,5400.0,40.0,0.0,0,7,6,1149,1926,2004,152000
808,547,4,No,351,Alq,112,0,None,0,1355,TA,10106.0,62.0,0.0,0,7,5,644,1940,1999,127500
1867,0,2,No,379,Lwq,470,303,Fin,1955,1867,TA,10708.0,69.0,0.0,0,5,5,1617,1955,1993,190000
1610,551,3,No,1288,Glq,294,789,Fin,2007,2161,Ex,10562.0,86.0,300.0,120,5,8,1582,2007,2007,325624
840,880,3,No,0,Unf,840,440,Fin,2004,1720,Gd,8244.0,62.0,0.0,48,5,7,840,2004,2004,183500
1707,0,2,No,0,Unf,1686,511,Rfn,1981,1707,TA,16669.0,69.0,653.0,64,6,8,1686,1981,1981,228000
854,0,2,No,360,Rec,360,660,None,1991,1382,TA,12358.0,69.0,0.0,0,6,5,720,1941,1950,128500
1656,0,3,Gd,639,Blq,441,528,Fin,1960,1656,TA,31770.0,141.0,112.0,62,5,6,1080,1960,1960,215000
1064,703,2,No,495,Glq,354,504,Rfn,1987,1767,Gd,5306.0,44.0,0.0,35,7,7,1064,1987,1987,239000
1362,0,0,No,288,Alq,700,504,None,1961,1362,TA,10197.0,80.0,491.0,20,5,6,1362,1961,1961,163000
1651,0,3,No,1398,Alq,0,616,Fin,1986,1651,TA,12416.0,47.0,132.0,0,5,6,1606,1986,1986,184000
2158,0,4,Av,477,Alq,725,576,Unf,1950,2158,Gd,12615.0,84.0,0.0,29,7,6,1202,1950,2001,243000
1164,896,4,No,831,Glq,320,521,None,1988,2060,TA,10029.0,97.0,268.0,228,5,6,1151,1988,1989,211000
1252,668,4,No,57,Alq,554,451,Unf,1958,1920,Gd,13650.0,69.0,0.0,0,5,5,1052,1958,1958,172500
2234,0,1,No,1904,Glq,312,1166,Fin,2009,2234,Ex,17423.0,63.0,748.0,60,5,9,2216,2008,2009,501837
968,0,2,No,0,Unf,968,480,Unf,1935,968,TA,8520.0,60.0,0.0,0,6,5,968,1923,2006,100000
769,756,3,No,436,Glq,320,440,Unf,2000,1525,Gd,2117.0,69.0,456.0,0,5,6,756,2000,2000,177000
901,901,4,No,352,Lwq,441,216,Unf,1920,1802,TA,7588.0,54.0,0.0,0,6,7,793,1920,1950,200100
1340,0,3,None,0,None,0,252,None,1957,1340,TA,9060.0,60.0,98.0,0,6,5,0,1957,2006,120000
1362,720,3,No,0,Unf,1362,484,Unf,2003,2082,Gd,11426.0,63.0,0.0,238,5,7,1362,2003,2003,200000
936,316,3,No,0,Unf,504,576,Unf,1986,1252,TA,7438.0,92.0,0.0,0,8,5,504,1908,1991,127000
1518,1518,4,Mn,0,Unf,1107,840,Unf,1993,3608,Ex,22950.0,90.0,0.0,260,9,10,1107,1892,1993,475000
1217,0,3,Av,611,Glq,577,497,Unf,1990,1217,Gd,9947.0,69.0,0.0,27,5,7,1188,1990,1991,173000
808,704,3,No,0,Unf,660,180,Unf,1916,1656,TA,10410.0,60.0,0.0,0,7,5,660,1916,1987,135000
1224,0,2,Av,1086,Glq,0,528,Unf,1979,1224,TA,7018.0,64.0,275.0,0,5,5,1086,1979,1979,153337
1593,0,0,Av,1153,Glq,440,682,Fin,2001,1593,Ex,4923.0,41.0,0.0,120,5,8,1593,2001,2002,286000
1549,1178,3,No,297,Rec,556,440,Unf,1932,2727,Gd,10570.0,70.0,0.0,74,8,8,853,1932,1994,315000
725,754,4,No,626,Alq,99,484,Fin,1972,1479,Gd,7472.0,69.0,138.0,32,9,7,725,1972,2004,184000
1431,0,3,Av,560,Glq,871,666,Fin,1999,1431,Gd,9017.0,68.0,0.0,35,5,7,1431,1999,1999,192000
970,739,0,No,0,Unf,970,380,Unf,2004,1709,Gd,2522.0,24.0,50.0,40,5,7,970,2004,2004,130000
864,0,3,Av,390,Alq,474,352,Unf,1989,864,TA,7180.0,60.0,0.0,0,7,5,864,1972,1972,127000
855,0,3,No,566,Alq,289,440,None,1976,1456,TA,2280.0,24.0,0.0,0,6,6,855,1976,1976,148500
1726,0,3,No,1126,None,600,786,None,2007,1726,Ex,9416.0,79.0,205.0,138,5,7,1726,2007,2007,311872
1360,1360,0,No,1036,None,140,795,Unf,1918,3112,Gd,25419.0,174.0,0.0,16,4,8,1360,1918,1990,235000
929,929,5,No,0,Unf,755,0,None,0,2229,TA,5520.0,92.0,0.0,198,6,6,755,1912,1950,104000
1713,0,3,Av,1088,Glq,625,856,Fin,2004,1713,Ex,9591.0,76.0,262.0,26,5,8,1713,2004,2005,274900
1121,0,2,No,0,Unf,1121,440,Rfn,2003,1121,TA,8546.0,80.0,0.0,64,5,4,1121,2003,2004,140000
1279,0,3,No,641,Alq,276,473,Unf,1980,1279,TA,10125.0,75.0,0.0,83,6,6,1196,1977,1977,171500
865,445,2,No,617,Lwq,0,398,Unf,1924,1310,TA,7000.0,50.0,0.0,0,6,6,617,1924,1950,112000
848,0,1,Av,662,Glq,186,420,Rfn,2004,848,Gd,4438.0,69.0,205.0,0,5,6,848,2004,2004,149000
720,564,2,No,312,Lwq,408,240,Unf,1948,1284,TA,3500.0,50.0,0.0,35,7,5,720,1947,1950,110000
1442,0,3,No,0,Unf,1424,500,None,1990,1442,TA,11851.0,99.0,0.0,34,5,7,1424,1990,1990,180500
1696,0,3,No,0,Unf,1140,349,None,1962,1696,TA,13673.0,40.0,0.0,30,5,5,1140,1962,1962,143900
1100,0,3,No,419,Alq,375,312,Rfn,1960,1100,TA,12493.0,69.0,0.0,0,5,4,1100,1960,1960,141000
1180,0,3,Gd,1065,Glq,92,454,None,1988,2062,TA,14364.0,69.0,128.0,55,5,7,1157,1988,1989,277000
1092,0,3,No,787,Rec,305,504,Rfn,1964,1092,TA,8250.0,75.0,260.0,0,7,6,1092,1964,1964,145000
864,0,2,No,468,Rec,396,0,None,0,864,TA,5604.0,67.0,0.0,0,6,5,864,1925,1950,98000
1212,0,3,Mn,36,Glq,1176,460,Rfn,2009,1212,Gd,10420.0,83.0,0.0,22,5,6,1212,2009,2009,186000
932,920,3,No,822,Glq,78,644,Rfn,2009,1852,Gd,8640.0,72.0,0.0,108,5,7,900,2009,2009,252678
990,0,3,No,716,Alq,274,576,Unf,1996,990,TA,13568.0,43.0,0.0,0,5,5,990,1995,1995,156000
689,703,3,No,378,Glq,311,299,Fin,1977,1392,TA,10900.0,69.0,153.0,36,7,6,689,1977,1977,161750
1236,0,2,No,360,Blq,710,447,Unf,1957,1236,Gd,10011.0,72.0,64.0,0,6,5,1070,1957,1996,134450
